id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,bayesaverage,complexity,yearpublished
383467,Unmatched: Brains and Brawn,2.0,3.0,20.0,40.0,14.0,6.29207,2.1818,2023
222407,Lignum (Second Edition),2.0,4.0,90.0,120.0,12.0,6.15888,4.0964,2017
399806,Karvi,2.0,4.0,120.0,180.0,12.0,6.01473,3.4038,2023
2228,War of the Ring,2.0,3.0,60.0,210.0,12.0,5.82687,3.466,1977
394127,Yokai Pagoda,2.0,5.0,10.0,15.0,8.0,6.07817,1.5417,2023
256729,Wacky Races: The Board Game,2.0,6.0,20.0,20.0,14.0,5.7806,1.24,2019
132497,Lift it!,1.0,8.0,30.0,30.0,8.0,5.69618,1.2571,2012
5195,The Farming Game,2.0,6.0,120.0,120.0,10.0,5.56927,1.6667,1979
142334,Sushi Dice,2.0,6.0,20.0,20.0,7.0,5.60319,1.0789,2014
383790,Romi Rami,2.0,4.0,30.0,30.0,8.0,5.93016,1.3548,2023
258104,Tribes: Dawn of Humanity,2.0,4.0,45.0,45.0,10.0,5.84875,2.0488,2018
352138,Cyberpunk 2077: Gangs of Night City,1.0,4.0,90.0,120.0,14.0,5.98891,2.8529,2023
4741,Warmachine,2.0,4.0,60.0,60.0,12.0,5.97147,3.5221,2003
150485,Cat Tower,2.0,6.0,15.0,20.0,6.0,5.53915,1.037,2015
1324,Café International: Das Kartenspiel,2.0,5.0,45.0,45.0,10.0,5.57005,1.3176,2001
286160,Godspeed,2.0,5.0,45.0,90.0,10.0,5.9414,2.75,2020
631,Daytona 500,2.0,4.0,70.0,70.0,10.0,5.97802,1.7788,1990
32114,Merchants,2.0,4.0,30.0,30.0,12.0,5.83011,1.7091,2007
303554,Winter Kingdom,2.0,4.0,45.0,60.0,14.0,6.03931,2.6154,2020
329939,Keystone: North America,1.0,4.0,30.0,60.0,10.0,6.00045,2.25,2022
175755,The Lord of the Rings: Journey to Mordor,2.0,4.0,20.0,20.0,8.0,5.66281,1.46,2015
25420,Ur,3.0,4.0,45.0,45.0,10.0,5.80103,3.0526,2006
25277,Richard III: The Wars of the Roses,2.0,2.0,60.0,180.0,12.0,6.0643,2.6667,2009
437384,Bohemians,1.0,4.0,45.0,60.0,14.0,5.78463,2.1818,2025
322524,Bardsung,1.0,5.0,60.0,90.0,14.0,5.87418,3.119,2022
114903,Castellan,2.0,2.0,30.0,45.0,10.0,5.70812,1.4444,2013
181495,Alone,2.0,4.0,60.0,120.0,14.0,6.0328,3.3061,2019
17851,Pizza Box Football,1.0,2.0,60.0,60.0,12.0,5.71648,2.0076,2005
